,url,link_text,tokens,token_values
94910430,data.stadt-zuerich.ch/dataset?license_id=cc-zero&tags=3d-stadtmodell,Creative Commons CC... (10),dachstruktur__3d__dxfgdbgpkgwfswmswmts__3d-stadtmodell__lod2__gebäudegrundrissen__aussenhüll__3d-modell__3d-dachmodell__basieren,0.16961122050382973__0.16572888871365743__0.12610933846633104__0.10057547312614923__0.09776326497943136__0.07960182465745244__0.07960182465745244__0.07866055038504552__0.07538276466836877__0.07190946585130317
94910814,data.stadt-zuerich.ch/dataset?_license_id_limit=0&q=miv,Mehr Lizenzen anzeigen,miv__fahrzeugtypen__verkehrszähldat__jsoncsv__verkehrszahle__datensätz__dataset__signalisierte__lärmgutachten__kategorie,0.08126421555585778__0.06694925891219711__0.06565286753212231__0.06565286753212231__0.06505519193373582__0.06484959052191787__0.06394494364197774__0.06293175564791567__0.06245654923859537__0.06178085725740169
94910431,data.stadt-zuerich.ch/dataset?_license_id_limit=0&tags=3d-stadtmodell,Mehr Lizenzen anzeigen,dachstruktur__3d__dxfgdbgpkgwfswmswmts__3d-stadtmodell__lod2__aussenhüll__gebäudegrundrissen__3d-modell__3d-dachmodell__basieren,0.17368188979592167__0.16970638204278518__0.12913596258952298__0.10298928448117682__0.10010958333893771__0.0815122684492313__0.0815122684492313__0.08054840359428661__0.07719195102040961__0.07363529303173445
94909892,data.stadt-zuerich.ch/dataset/parkleitsystem,Parkleitsystems Stadt Zürich,hackzurich__parkplatz__typ__char__parking__parkhäuser__parkleitsystem__parkendd__technisch__echtzeitinformation,0.09608336787576185__0.08643818402892182__0.08197432046090669__0.08104476077938133__0.08058562013153854__0.0698844438012895__0.06029835525967106__0.05901197563910157__0.05762545601928122__0.05229510249738123
94907664,data.stadt-zuerich.ch/dataset/prd_stez_bevoelkerungsbefragungen_seit1999_od4731,Daten & Ressourcen,technisch__innenstadt__nennung__letzter__monat__kauft__besorgen__wohnquartier__produkt__anstatt,0.17442733274331904__0.09474986446688098__0.08947908856291086__0.08833356462313367__0.07972233151085027__0.07650819052145802__0.0677141456339341__0.06156527493107757__0.05954274998449881__0.05924666050738356
94909432,data.stadt-zuerich.ch/dataset?q=%22Fuss-+und+Veloz%C3%A4hlung%22,Velozählstellen-Daten,velozählung__automatisch__kategorie__einstellen__csv__fussverkehr__aktualisiert__tag__lizenz__velozählstell,0.1939630332467825__0.11550630846547878__0.08318524874815504__0.07524975211368146__0.07067518613828333__0.07041350816380826__0.06594298312109119__0.06344512300137123__0.06248858575658945__0.06190032909921251
94909238,data.stadt-zuerich.ch/dataset?q=%2Btitle%3Ageschlecht+-title%3Aherkunft&sort=score+desc%2C+date_last_modified+desc,+title:geschlecht -title:herkunft,geschlecht__csv__stadtquartier__todesursache__anzahl__zivilstand__altersgruppe__altersklasse__eintragung__statistischem,0.41684391469365456__0.24523903386781373__0.1245230329166575__0.09588426983914906__0.08063803761663642__0.07598659713571604__0.0753226877052154__0.06467476629938074__0.06255914357369238__0.06111532251769771
94909236,data.stadt-zuerich.ch/dataset?q=bev%C3%B6lkerung+stadtquartier,Bevölkerung Stadtquartier»,stadtquartier__csv__herkunft__geschlecht__statistischem__wohnbevölkerung__stadtkreis__anzahl__aktuellen__privathaushalt,0.5119280242129253__0.24523903386781373__0.16520806198187585__0.16210596682531012__0.14260241920796132__0.12605099722520324__0.12476088103728059__0.1164771654462526__0.1018588708628295__0.09482941176053465
94909237,data.stadt-zuerich.ch/dataset?q=metadata_created%3A%5B2021-03-01T02%3A00%3A05Z+TO+2021-07-01T23%3A59%3A59Z%5D&sort=score+desc%2C+date_last_modified+desc,metadata_created:[2021-03-01T02:00:05Z TO 2021-07-01T23:59:59Z],csv__eigentumsart__nationalität__geburtsland__stadtquartier__wohnungsbestand__bauperiode__wohnungsfläche__personenzahl__stadtkreis,0.20215650089103565__0.14600421177138595__0.08735861743214095__0.08124324231825392__0.0760350851643254__0.07293101807545369__0.07082289905945936__0.06458180087625257__0.06257323361630827__0.062329350886765895
94910772,data.stadt-zuerich.ch/dataset?q=miv,,miv__fahrzeugtypen__verkehrszähldat__jsoncsv__verkehrszahle__datensätz__dataset__signalisierte__lärmgutachten__kategorie,0.08032474485579005__0.0661752790403798__0.06489387484388968__0.06489387484388968__0.06430310878999322__0.06409988427310957__0.06320569573860227__0.06220422090054093__0.06173450820693531__0.061066627693732306
